alfa,beta,flape,profundor,aileronEsquerdo,aileronDireito,leme,CD,CL,CM,CY,C1,CN,Q
0.2,-30.0,0.0,10.0,0.0,0.0,0.0,0.185,0.3,-0.187,0.165,0.04,-0.07200000000000001,280.8
0.2,-30.0,0.0,10.0,0.0,0.0,0.0,0.193,0.353,-0.314,0.159,0.051,-0.069,283.4
0.2,-30.0,0.0,10.0,0.0,0.0,0.0,0.185,0.163,0.14,0.16699999999999998,0.011000000000000001,-0.07400000000000001,281.4
0.2,-30.0,0.0,10.0,0.0,0.0,0.0,0.195,0.128,0.28300000000000003,0.163,-0.004,-0.073,282.4
0.2,-30.0,0.0,10.0,0.0,0.0,0.0,0.185,0.235,-0.12,0.166,0.005,-0.07400000000000001,284.8
0.2,-30.0,0.0,10.0,0.0,0.0,0.0,0.18899999999999997,0.22399999999999998,-0.152,0.165,-0.001,-0.076,272.9
0.2,-30.0,0.0,10.0,0.0,0.0,0.0,0.182,0.237,-0.077,0.16699999999999998,0.016,-0.07400000000000001,276.0
0.2,-30.0,0.0,10.0,0.0,0.0,0.0,0.15,0.21600000000000003,-0.04,0.147,0.022000000000000002,-0.052000000000000005,287.5
0.2,-30.0,0.0,10.0,0.0,0.0,0.0,0.146,0.244,-0.046,0.127,0.017,-0.031,285.0
0.2,-30.0,0.0,10.0,0.0,0.0,0.0,0.141,0.244,-0.040999999999999995,0.11599999999999999,0.016,-0.021,280.0
0.2,-30.0,0.0,10.0,0.0,0.0,0.0,0.226,0.272,0.009000000000000001,0.18,0.022000000000000002,-0.07,280.3
0.2,-30.0,0.0,20.0,0.0,0.0,0.0,0.185,0.3,-0.187,0.165,0.04,-0.07200000000000001,280.8
0.2,-30.0,0.0,20.0,0.0,0.0,0.0,0.193,0.353,-0.314,0.159,0.051,-0.069,283.4
0.2,-30.0,0.0,20.0,0.0,0.0,0.0,0.185,0.163,0.14,0.16699999999999998,0.011000000000000001,-0.07400000000000001,281.4
0.2,-30.0,0.0,20.0,0.0,0.0,0.0,0.195,0.128,0.28300000000000003,0.163,-0.004,-0.073,282.4
0.2,-30.0,0.0,20.0,0.0,0.0,0.0,0.185,0.235,-0.12,0.166,0.005,-0.07400000000000001,284.8
0.2,-30.0,0.0,20.0,0.0,0.0,0.0,0.18899999999999997,0.22399999999999998,-0.152,0.165,-0.001,-0.076,272.9
0.2,-30.0,0.0,20.0,0.0,0.0,0.0,0.182,0.237,-0.077,0.16699999999999998,0.016,-0.07400000000000001,276.0
0.2,-30.0,0.0,20.0,0.0,0.0,0.0,0.15,0.21600000000000003,-0.04,0.147,0.022000000000000002,-0.052000000000000005,287.5
0.2,-30.0,0.0,20.0,0.0,0.0,0.0,0.146,0.244,-0.046,0.127,0.017,-0.031,285.0
0.2,-30.0,0.0,20.0,0.0,0.0,0.0,0.141,0.244,-0.040999999999999995,0.11599999999999999,0.016,-0.021,280.0
0.2,-30.0,0.0,20.0,0.0,0.0,0.0,0.226,0.272,0.009000000000000001,0.18,0.022000000000000002,-0.07,280.3
0.2,-30.0,0.0,-10.0,0.0,0.0,0.0,0.185,0.3,-0.187,0.165,0.04,-0.07200000000000001,280.8
0.2,-30.0,0.0,-10.0,0.0,0.0,0.0,0.193,0.353,-0.314,0.159,0.051,-0.069,283.4
0.2,-30.0,0.0,-10.0,0.0,0.0,0.0,0.185,0.163,0.14,0.16699999999999998,0.011000000000000001,-0.07400000000000001,281.4
0.2,-30.0,0.0,-10.0,0.0,0.0,0.0,0.195,0.128,0.28300000000000003,0.163,-0.004,-0.073,282.4
0.2,-30.0,0.0,-10.0,0.0,0.0,0.0,0.185,0.235,-0.12,0.166,0.005,-0.07400000000000001,284.8
0.2,-30.0,0.0,-10.0,0.0,0.0,0.0,0.18899999999999997,0.22399999999999998,-0.152,0.165,-0.001,-0.076,272.9
0.2,-30.0,0.0,-10.0,0.0,0.0,0.0,0.182,0.237,-0.077,0.16699999999999998,0.016,-0.07400000000000001,276.0
0.2,-30.0,0.0,-10.0,0.0,0.0,0.0,0.15,0.21600000000000003,-0.04,0.147,0.022000000000000002,-0.052000000000000005,287.5
0.2,-30.0,0.0,-10.0,0.0,0.0,0.0,0.146,0.244,-0.046,0.127,0.017,-0.031,285.0
0.2,-30.0,0.0,-10.0,0.0,0.0,0.0,0.141,0.244,-0.040999999999999995,0.11599999999999999,0.016,-0.021,280.0
0.2,-30.0,0.0,-10.0,0.0,0.0,0.0,0.226,0.272,0.009000000000000001,0.18,0.022000000000000002,-0.07,280.3
0.2,-30.0,0.0,-20.0,0.0,0.0,0.0,0.185,0.3,-0.187,0.165,0.04,-0.07200000000000001,280.8
0.2,-30.0,0.0,-20.0,0.0,0.0,0.0,0.193,0.353,-0.314,0.159,0.051,-0.069,283.4
0.2,-30.0,0.0,-20.0,0.0,0.0,0.0,0.185,0.163,0.14,0.16699999999999998,0.011000000000000001,-0.07400000000000001,281.4
0.2,-30.0,0.0,-20.0,0.0,0.0,0.0,0.195,0.128,0.28300000000000003,0.163,-0.004,-0.073,282.4
0.2,-30.0,0.0,-20.0,0.0,0.0,0.0,0.185,0.235,-0.12,0.166,0.005,-0.07400000000000001,284.8
0.2,-30.0,0.0,-20.0,0.0,0.0,0.0,0.18899999999999997,0.22399999999999998,-0.152,0.165,-0.001,-0.076,272.9
0.2,-30.0,0.0,-20.0,0.0,0.0,0.0,0.182,0.237,-0.077,0.16699999999999998,0.016,-0.07400000000000001,276.0
0.2,-30.0,0.0,-20.0,0.0,0.0,0.0,0.15,0.21600000000000003,-0.04,0.147,0.022000000000000002,-0.052000000000000005,287.5
0.2,-30.0,0.0,-20.0,0.0,0.0,0.0,0.146,0.244,-0.046,0.127,0.017,-0.031,285.0
0.2,-30.0,0.0,-20.0,0.0,0.0,0.0,0.141,0.244,-0.040999999999999995,0.11599999999999999,0.016,-0.021,280.0
0.2,-30.0,0.0,-20.0,0.0,0.0,0.0,0.226,0.272,0.009000000000000001,0.18,0.022000000000000002,-0.07,280.3
0.1,-30.0,0.0,0.0,11.0,10.0,0.0,0.185,0.3,-0.187,0.165,0.04,-0.07200000000000001,280.8
0.1,-30.0,0.0,0.0,11.0,10.0,0.0,0.193,0.353,-0.314,0.159,0.051,-0.069,283.4
0.1,-30.0,0.0,0.0,11.0,10.0,0.0,0.185,0.163,0.14,0.16699999999999998,0.011000000000000001,-0.07400000000000001,281.4
0.1,-30.0,0.0,0.0,11.0,10.0,0.0,0.195,0.128,0.28300000000000003,0.163,-0.004,-0.073,282.4
0.1,-30.0,0.0,0.0,11.0,10.0,0.0,0.185,0.235,-0.12,0.166,0.005,-0.07400000000000001,284.8
0.1,-30.0,0.0,0.0,11.0,10.0,0.0,0.18899999999999997,0.22399999999999998,-0.152,0.165,-0.001,-0.076,272.9
0.1,-30.0,0.0,0.0,11.0,10.0,0.0,0.182,0.237,-0.077,0.16699999999999998,0.016,-0.07400000000000001,276.0
0.1,-30.0,0.0,0.0,11.0,10.0,0.0,0.15,0.21600000000000003,-0.04,0.147,0.022000000000000002,-0.052000000000000005,287.5
0.1,-30.0,0.0,0.0,11.0,10.0,0.0,0.146,0.244,-0.046,0.127,0.017,-0.031,285.0
0.1,-30.0,0.0,0.0,11.0,10.0,0.0,0.141,0.244,-0.040999999999999995,0.11599999999999999,0.016,-0.021,280.0
0.1,-30.0,0.0,0.0,11.0,10.0,0.0,0.226,0.272,0.009000000000000001,0.18,0.022000000000000002,-0.07,280.3
0.1,-30.0,0.0,0.0,17.0,15.0,0.0,0.185,0.3,-0.187,0.165,0.04,-0.07200000000000001,280.8
0.1,-30.0,0.0,0.0,17.0,15.0,0.0,0.193,0.353,-0.314,0.159,0.051,-0.069,283.4
0.1,-30.0,0.0,0.0,17.0,15.0,0.0,0.185,0.163,0.14,0.16699999999999998,0.011000000000000001,-0.07400000000000001,281.4
0.1,-30.0,0.0,0.0,17.0,15.0,0.0,0.195,0.128,0.28300000000000003,0.163,-0.004,-0.073,282.4
0.1,-30.0,0.0,0.0,17.0,15.0,0.0,0.185,0.235,-0.12,0.166,0.005,-0.07400000000000001,284.8
0.1,-30.0,0.0,0.0,17.0,15.0,0.0,0.18899999999999997,0.22399999999999998,-0.152,0.165,-0.001,-0.076,272.9
0.1,-30.0,0.0,0.0,17.0,15.0,0.0,0.182,0.237,-0.077,0.16699999999999998,0.016,-0.07400000000000001,276.0
0.1,-30.0,0.0,0.0,17.0,15.0,0.0,0.15,0.21600000000000003,-0.04,0.147,0.022000000000000002,-0.052000000000000005,287.5
0.1,-30.0,0.0,0.0,17.0,15.0,0.0,0.146,0.244,-0.046,0.127,0.017,-0.031,285.0
0.1,-30.0,0.0,0.0,17.0,15.0,0.0,0.141,0.244,-0.040999999999999995,0.11599999999999999,0.016,-0.021,280.0
0.1,-30.0,0.0,0.0,17.0,15.0,0.0,0.226,0.272,0.009000000000000001,0.18,0.022000000000000002,-0.07,280.3
0.1,-30.0,0.0,0.0,6.0,5.0,0.0,0.185,0.3,-0.187,0.165,0.04,-0.07200000000000001,280.8
0.1,-30.0,0.0,0.0,6.0,5.0,0.0,0.193,0.353,-0.314,0.159,0.051,-0.069,283.4
0.1,-30.0,0.0,0.0,6.0,5.0,0.0,0.185,0.163,0.14,0.16699999999999998,0.011000000000000001,-0.07400000000000001,281.4
0.1,-30.0,0.0,0.0,6.0,5.0,0.0,0.195,0.128,0.28300000000000003,0.163,-0.004,-0.073,282.4
0.1,-30.0,0.0,0.0,6.0,5.0,0.0,0.185,0.235,-0.12,0.166,0.005,-0.07400000000000001,284.8
0.1,-30.0,0.0,0.0,6.0,5.0,0.0,0.18899999999999997,0.22399999999999998,-0.152,0.165,-0.001,-0.076,272.9
0.1,-30.0,0.0,0.0,6.0,5.0,0.0,0.182,0.237,-0.077,0.16699999999999998,0.016,-0.07400000000000001,276.0
0.1,-30.0,0.0,0.0,6.0,5.0,0.0,0.15,0.21600000000000003,-0.04,0.147,0.022000000000000002,-0.052000000000000005,287.5
0.1,-30.0,0.0,0.0,6.0,5.0,0.0,0.146,0.244,-0.046,0.127,0.017,-0.031,285.0
0.1,-30.0,0.0,0.0,6.0,5.0,0.0,0.141,0.244,-0.040999999999999995,0.11599999999999999,0.016,-0.021,280.0
0.1,-30.0,0.0,0.0,6.0,5.0,0.0,0.226,0.272,0.009000000000000001,0.18,0.022000000000000002,-0.07,280.3
0.2,-30.0,0.0,0.0,0.0,0.0,-10.0,0.185,0.3,-0.187,0.165,0.04,-0.07200000000000001,280.8
0.2,-30.0,0.0,0.0,0.0,0.0,-10.0,0.193,0.353,-0.314,0.159,0.051,-0.069,283.4
