alfa,beta,flape,profundor,aileronEsquerdo,aileronDireito,leme,CD,CL,CM,CY,C1,CN,Q
0.3,-30.0,12.0,10.0,0.0,0.0,0.0,0.195,0.43200000000000005,-0.21100000000000002,0.165,0.04,-0.073,285.9
0.3,-30.0,12.0,10.0,0.0,0.0,0.0,0.203,0.436,-0.326,0.159,0.051,-0.071,285.9
0.3,-30.0,12.0,10.0,0.0,0.0,0.0,0.195,0.304,0.10800000000000001,0.19399999999999998,0.012,-0.076,284.3
0.3,-30.0,12.0,10.0,0.0,0.0,0.0,0.20600000000000002,0.239,0.272,0.16399999999999998,-0.002,-0.075,284.0
0.3,-30.0,12.0,10.0,0.0,0.0,0.0,0.196,0.369,-0.149,0.166,0.006999999999999999,-0.076,281.9
0.3,-30.0,12.0,10.0,0.0,0.0,0.0,0.2,0.365,-0.154,0.16399999999999998,-0.002,-0.077,277.0
0.3,-30.0,12.0,10.0,0.0,0.0,0.0,0.19399999999999998,0.37200000000000005,-0.10300000000000001,0.16699999999999998,0.017,-0.076,273.3
0.3,-30.0,12.0,10.0,0.0,0.0,0.0,171.0,0.376,-0.063,0.14800000000000002,0.023,-0.053,283.8
0.3,-30.0,12.0,10.0,0.0,0.0,0.0,0.156,0.373,-0.071,0.127,0.017,-0.032,283.8
0.3,-30.0,12.0,10.0,0.0,0.0,0.0,0.15,0.38,-0.07,0.11599999999999999,0.016,-0.022000000000000002,278.9
0.3,-30.0,12.0,10.0,0.0,0.0,0.0,0.23600000000000002,0.36,0.015,0.182,0.024,-0.07200000000000001,274.3
0.2,-30.0,12.0,20.0,0.0,0.0,0.0,0.195,0.43200000000000005,-0.21100000000000002,0.165,0.04,-0.073,285.9
0.2,-30.0,12.0,20.0,0.0,0.0,0.0,0.203,0.436,-0.326,0.159,0.051,-0.071,285.9
0.2,-30.0,12.0,20.0,0.0,0.0,0.0,0.195,0.304,0.10800000000000001,0.19399999999999998,0.012,-0.076,284.3
0.2,-30.0,12.0,20.0,0.0,0.0,0.0,0.20600000000000002,0.239,0.272,0.16399999999999998,-0.002,-0.075,284.0
0.2,-30.0,12.0,20.0,0.0,0.0,0.0,0.196,0.369,-0.149,0.166,0.006999999999999999,-0.076,281.9
0.2,-30.0,12.0,20.0,0.0,0.0,0.0,0.2,0.365,-0.154,0.16399999999999998,-0.002,-0.077,277.0
0.2,-30.0,12.0,20.0,0.0,0.0,0.0,0.19399999999999998,0.37200000000000005,-0.10300000000000001,0.16699999999999998,0.017,-0.076,273.3
0.2,-30.0,12.0,20.0,0.0,0.0,0.0,171.0,0.376,-0.063,0.14800000000000002,0.023,-0.053,283.8
0.2,-30.0,12.0,20.0,0.0,0.0,0.0,0.156,0.373,-0.071,0.127,0.017,-0.032,283.8
0.2,-30.0,12.0,20.0,0.0,0.0,0.0,0.15,0.38,-0.07,0.11599999999999999,0.016,-0.022000000000000002,278.9
0.2,-30.0,12.0,20.0,0.0,0.0,0.0,0.23600000000000002,0.36,0.015,0.182,0.024,-0.07200000000000001,274.3
0.2,-30.0,12.0,-10.0,0.0,0.0,0.0,0.195,0.43200000000000005,-0.21100000000000002,0.165,0.04,-0.073,285.9
0.2,-30.0,12.0,-10.0,0.0,0.0,0.0,0.203,0.436,-0.326,0.159,0.051,-0.071,285.9
0.2,-30.0,12.0,-10.0,0.0,0.0,0.0,0.195,0.304,0.10800000000000001,0.19399999999999998,0.012,-0.076,284.3
0.2,-30.0,12.0,-10.0,0.0,0.0,0.0,0.20600000000000002,0.239,0.272,0.16399999999999998,-0.002,-0.075,284.0
0.2,-30.0,12.0,-10.0,0.0,0.0,0.0,0.196,0.369,-0.149,0.166,0.006999999999999999,-0.076,281.9
0.2,-30.0,12.0,-10.0,0.0,0.0,0.0,0.2,0.365,-0.154,0.16399999999999998,-0.002,-0.077,277.0
0.2,-30.0,12.0,-10.0,0.0,0.0,0.0,0.19399999999999998,0.37200000000000005,-0.10300000000000001,0.16699999999999998,0.017,-0.076,273.3
0.2,-30.0,12.0,-10.0,0.0,0.0,0.0,171.0,0.376,-0.063,0.14800000000000002,0.023,-0.053,283.8
0.2,-30.0,12.0,-10.0,0.0,0.0,0.0,0.156,0.373,-0.071,0.127,0.017,-0.032,283.8
0.2,-30.0,12.0,-10.0,0.0,0.0,0.0,0.15,0.38,-0.07,0.11599999999999999,0.016,-0.022000000000000002,278.9
0.2,-30.0,12.0,-10.0,0.0,0.0,0.0,0.23600000000000002,0.36,0.015,0.182,0.024,-0.07200000000000001,274.3
0.1,-30.0,12.0,-20.0,0.0,0.0,0.0,0.195,0.43200000000000005,-0.21100000000000002,0.165,0.04,-0.073,285.9
0.1,-30.0,12.0,-20.0,0.0,0.0,0.0,0.203,0.436,-0.326,0.159,0.051,-0.071,285.9
0.1,-30.0,12.0,-20.0,0.0,0.0,0.0,0.195,0.304,0.10800000000000001,0.19399999999999998,0.012,-0.076,284.3
0.1,-30.0,12.0,-20.0,0.0,0.0,0.0,0.20600000000000002,0.239,0.272,0.16399999999999998,-0.002,-0.075,284.0
0.1,-30.0,12.0,-20.0,0.0,0.0,0.0,0.196,0.369,-0.149,0.166,0.006999999999999999,-0.076,281.9
0.1,-30.0,12.0,-20.0,0.0,0.0,0.0,0.2,0.365,-0.154,0.16399999999999998,-0.002,-0.077,277.0
0.1,-30.0,12.0,-20.0,0.0,0.0,0.0,0.19399999999999998,0.37200000000000005,-0.10300000000000001,0.16699999999999998,0.017,-0.076,273.3
0.1,-30.0,12.0,-20.0,0.0,0.0,0.0,171.0,0.376,-0.063,0.14800000000000002,0.023,-0.053,283.8
0.1,-30.0,12.0,-20.0,0.0,0.0,0.0,0.156,0.373,-0.071,0.127,0.017,-0.032,283.8
0.1,-30.0,12.0,-20.0,0.0,0.0,0.0,0.15,0.38,-0.07,0.11599999999999999,0.016,-0.022000000000000002,278.9
0.1,-30.0,12.0,-20.0,0.0,0.0,0.0,0.23600000000000002,0.36,0.015,0.182,0.024,-0.07200000000000001,274.3
0.2,-30.0,12.0,0.0,11.0,10.0,0.0,0.195,0.43200000000000005,-0.21100000000000002,0.165,0.04,-0.073,285.9
0.2,-30.0,12.0,0.0,11.0,10.0,0.0,0.203,0.436,-0.326,0.159,0.051,-0.071,285.9
0.2,-30.0,12.0,0.0,11.0,10.0,0.0,0.195,0.304,0.10800000000000001,0.19399999999999998,0.012,-0.076,284.3
0.2,-30.0,12.0,0.0,11.0,10.0,0.0,0.20600000000000002,0.239,0.272,0.16399999999999998,-0.002,-0.075,284.0
0.2,-30.0,12.0,0.0,11.0,10.0,0.0,0.196,0.369,-0.149,0.166,0.006999999999999999,-0.076,281.9
0.2,-30.0,12.0,0.0,11.0,10.0,0.0,0.2,0.365,-0.154,0.16399999999999998,-0.002,-0.077,277.0
0.2,-30.0,12.0,0.0,11.0,10.0,0.0,0.19399999999999998,0.37200000000000005,-0.10300000000000001,0.16699999999999998,0.017,-0.076,273.3
0.2,-30.0,12.0,0.0,11.0,10.0,0.0,171.0,0.376,-0.063,0.14800000000000002,0.023,-0.053,283.8
0.2,-30.0,12.0,0.0,11.0,10.0,0.0,0.156,0.373,-0.071,0.127,0.017,-0.032,283.8
0.2,-30.0,12.0,0.0,11.0,10.0,0.0,0.15,0.38,-0.07,0.11599999999999999,0.016,-0.022000000000000002,278.9
0.2,-30.0,12.0,0.0,11.0,10.0,0.0,0.23600000000000002,0.36,0.015,0.182,0.024,-0.07200000000000001,274.3
0.2,-30.0,12.0,0.0,17.0,15.0,0.0,0.195,0.43200000000000005,-0.21100000000000002,0.165,0.04,-0.073,285.9
0.2,-30.0,12.0,0.0,17.0,15.0,0.0,0.203,0.436,-0.326,0.159,0.051,-0.071,285.9
0.2,-30.0,12.0,0.0,17.0,15.0,0.0,0.195,0.304,0.10800000000000001,0.19399999999999998,0.012,-0.076,284.3
0.2,-30.0,12.0,0.0,17.0,15.0,0.0,0.20600000000000002,0.239,0.272,0.16399999999999998,-0.002,-0.075,284.0
0.2,-30.0,12.0,0.0,17.0,15.0,0.0,0.196,0.369,-0.149,0.166,0.006999999999999999,-0.076,281.9
0.2,-30.0,12.0,0.0,17.0,15.0,0.0,0.2,0.365,-0.154,0.16399999999999998,-0.002,-0.077,277.0
0.2,-30.0,12.0,0.0,17.0,15.0,0.0,0.19399999999999998,0.37200000000000005,-0.10300000000000001,0.16699999999999998,0.017,-0.076,273.3
0.2,-30.0,12.0,0.0,17.0,15.0,0.0,171.0,0.376,-0.063,0.14800000000000002,0.023,-0.053,283.8
0.2,-30.0,12.0,0.0,17.0,15.0,0.0,0.156,0.373,-0.071,0.127,0.017,-0.032,283.8
0.2,-30.0,12.0,0.0,17.0,15.0,0.0,0.15,0.38,-0.07,0.11599999999999999,0.016,-0.022000000000000002,278.9
0.2,-30.0,12.0,0.0,17.0,15.0,0.0,0.23600000000000002,0.36,0.015,0.182,0.024,-0.07200000000000001,274.3
