alfa,beta,flape,profundor,aileronEsquerdo,aileronDireito,leme,CD,CL,CM,CY,C1,CN,Q
-10.3,0.0,12.0,10.0,0.0,0.0,0.0,0.057,-0.40700000000000003,-0.02,-0.004,-0.004,0.002,281.2
-10.3,0.0,12.0,10.0,0.0,0.0,0.0,0.061,-0.33799999999999997,-0.215,-0.003,-0.003,0.002,273.3
-10.3,0.0,12.0,10.0,0.0,0.0,0.0,0.079,-0.593,0.433,-0.004,-0.002,0.001,280.4
-10.3,0.0,12.0,10.0,0.0,0.0,0.0,0.10099999999999999,-0.649,0.585,-0.004,-0.0,0.002,279.6
-10.3,0.0,12.0,10.0,0.0,0.0,0.0,0.069,-0.501,0.22,-0.004,-0.034,-0.003,276.6
-10.3,0.0,12.0,10.0,0.0,0.0,0.0,0.075,-0.498,0.22399999999999998,-0.004,-0.039,-0.005,276.2
-10.3,0.0,12.0,10.0,0.0,0.0,0.0,0.065,-0.507,0.21899999999999997,-0.004,-0.02,-0.001,270.6
-10.3,0.0,12.0,10.0,0.0,0.0,0.0,0.067,-0.503,0.21899999999999997,-0.022000000000000002,-0.01,0.018000000000000002,279.0
-10.3,0.0,12.0,10.0,0.0,0.0,0.0,0.075,-0.513,0.235,-0.037000000000000005,-0.017,0.034,282.0
-10.3,0.0,12.0,10.0,0.0,0.0,0.0,0.08199999999999999,-0.504,0.252,-0.040999999999999995,-0.019,0.038,280.2
-10.3,0.0,12.0,10.0,0.0,0.0,0.0,0.08800000000000001,-0.514,0.21100000000000002,-0.005,-0.003,0.001,277.6
-10.3,0.0,12.0,20.0,0.0,0.0,0.0,0.057,-0.40700000000000003,-0.02,-0.004,-0.004,0.002,281.2
-10.3,0.0,12.0,20.0,0.0,0.0,0.0,0.061,-0.33799999999999997,-0.215,-0.003,-0.003,0.002,273.3
-10.3,0.0,12.0,20.0,0.0,0.0,0.0,0.079,-0.593,0.433,-0.004,-0.002,0.001,280.4
-10.3,0.0,12.0,20.0,0.0,0.0,0.0,0.10099999999999999,-0.649,0.585,-0.004,-0.0,0.002,279.6
-10.3,0.0,12.0,20.0,0.0,0.0,0.0,0.069,-0.501,0.22,-0.004,-0.034,-0.003,276.6
-10.3,0.0,12.0,20.0,0.0,0.0,0.0,0.075,-0.498,0.22399999999999998,-0.004,-0.039,-0.005,276.2
