alfa,beta,flape,profundor,aileronEsquerdo,aileronDireito,leme,CD,CL,CM,CY,C1,CN,Q
-10.3,0.0,35.0,10.0,0.0,0.0,0.0,0.077,-0.134,-0.043,-0.003,-0.004,0.001,279.2
-10.3,0.0,35.0,10.0,0.0,0.0,0.0,0.08199999999999999,-0.053,-0.248,-0.003,-0.003,0.001,274.8
-10.3,0.0,35.0,10.0,0.0,0.0,0.0,0.098,-0.3,0.385,-0.003,-0.003,0.001,272.1
-10.3,0.0,35.0,10.0,0.0,0.0,0.0,0.127,-0.337,0.48200000000000004,-0.002,-0.006,0.001,276.7
-10.3,0.0,35.0,10.0,0.0,0.0,0.0,0.08900000000000001,-0.22,0.187,-0.005,-0.035,-0.004,279.8
-10.3,0.0,35.0,10.0,0.0,0.0,0.0,0.095,-0.207,0.184,-0.006,-0.042,-0.006,277.0
-10.3,0.0,35.0,10.0,0.0,0.0,0.0,0.086,-0.223,0.183,-0.005,-0.021,-0.001,281.5
-10.3,0.0,35.0,10.0,0.0,0.0,0.0,0.086,-0.212,0.182,-0.02,-0.011000000000000001,0.017,276.1
-10.3,0.0,35.0,10.0,0.0,0.0,0.0,0.095,-0.214,0.19699999999999998,-0.037000000000000005,-0.018000000000000002,0.032,279.3
-10.3,0.0,35.0,10.0,0.0,0.0,0.0,0.102,-0.223,0.215,-0.040999999999999995,-0.02,0.037000000000000005,273.9
-10.3,0.0,35.0,10.0,0.0,0.0,0.0,0.10400000000000001,-0.198,0.182,-0.004,-0.006,0.001,279.9
-10.3,0.0,35.0,20.0,0.0,0.0,0.0,0.077,-0.134,-0.043,-0.003,-0.004,0.001,279.2
-10.3,0.0,35.0,20.0,0.0,0.0,0.0,0.08199999999999999,-0.053,-0.248,-0.003,-0.003,0.001,274.8
-10.3,0.0,35.0,20.0,0.0,0.0,0.0,0.098,-0.3,0.385,-0.003,-0.003,0.001,272.1
-10.3,0.0,35.0,20.0,0.0,0.0,0.0,0.127,-0.337,0.48200000000000004,-0.002,-0.006,0.001,276.7
-10.3,0.0,35.0,20.0,0.0,0.0,0.0,0.08900000000000001,-0.22,0.187,-0.005,-0.035,-0.004,279.8
-10.3,0.0,35.0,20.0,0.0,0.0,0.0,0.095,-0.207,0.184,-0.006,-0.042,-0.006,277.0
