alfa,beta,flape,profundor,aileronEsquerdo,aileronDireito,leme,CD,CL,CM,CY,C1,CN,Q
0.2,-30.0,35.0,10.0,0.0,0.0,0.0,0.237,0.639,-0.204,0.162,0.047,-0.079,280.4
0.2,-30.0,35.0,10.0,0.0,0.0,0.0,0.244,0.6920000000000001,-0.326,0.157,0.057,-0.075,284.1
0.2,-30.0,35.0,10.0,0.0,0.0,0.0,0.24,0.522,0.105,0.16699999999999998,0.019,-0.08199999999999999,273.2
0.2,-30.0,35.0,10.0,0.0,0.0,0.0,0.25,0.469,0.244,0.163,0.006,-0.08199999999999999,279.9
0.2,-30.0,35.0,10.0,0.0,0.0,0.0,0.24,0.58,-0.14300000000000002,0.163,0.016,-0.08199999999999999,282.7
0.2,-30.0,35.0,10.0,0.0,0.0,0.0,0.245,0.5770000000000001,-0.18600000000000003,0.16,0.006999999999999999,-0.083,279.4
0.2,-30.0,35.0,10.0,0.0,0.0,0.0,0.237,0.584,-0.113,0.16399999999999998,0.023,-0.081,279.3
0.2,-30.0,35.0,10.0,0.0,0.0,0.0,0.215,0.581,-0.059000000000000004,0.145,0.028999999999999998,-0.059000000000000004,276.8
0.2,-30.0,35.0,10.0,0.0,0.0,0.0,0.201,0.584,-0.063,0.124,0.026000000000000002,-0.035,279.2
0.2,-30.0,35.0,10.0,0.0,0.0,0.0,0.195,0.5720000000000001,-0.052000000000000005,0.11599999999999999,0.024,-0.028999999999999998,279.7
0.2,-30.0,35.0,10.0,0.0,0.0,0.0,0.267,0.5489999999999999,0.0,0.177,0.033,-0.077,284.8
0.2,-30.0,35.0,20.0,0.0,0.0,0.0,0.237,0.639,-0.204,0.162,0.047,-0.079,280.4
0.2,-30.0,35.0,20.0,0.0,0.0,0.0,0.244,0.6920000000000001,-0.326,0.157,0.057,-0.075,284.1
0.2,-30.0,35.0,20.0,0.0,0.0,0.0,0.24,0.522,0.105,0.16699999999999998,0.019,-0.08199999999999999,273.2
0.2,-30.0,35.0,20.0,0.0,0.0,0.0,0.25,0.469,0.244,0.163,0.006,-0.08199999999999999,279.9
0.2,-30.0,35.0,20.0,0.0,0.0,0.0,0.24,0.58,-0.14300000000000002,0.163,0.016,-0.08199999999999999,282.7
0.2,-30.0,35.0,20.0,0.0,0.0,0.0,0.245,0.5770000000000001,-0.18600000000000003,0.16,0.006999999999999999,-0.083,279.4
0.2,-30.0,35.0,20.0,0.0,0.0,0.0,0.237,0.584,-0.113,0.16399999999999998,0.023,-0.081,279.3
0.2,-30.0,35.0,20.0,0.0,0.0,0.0,0.215,0.581,-0.059000000000000004,0.145,0.028999999999999998,-0.059000000000000004,276.8
0.2,-30.0,35.0,20.0,0.0,0.0,0.0,0.201,0.584,-0.063,0.124,0.026000000000000002,-0.035,279.2
0.2,-30.0,35.0,20.0,0.0,0.0,0.0,0.195,0.5720000000000001,-0.052000000000000005,0.11599999999999999,0.024,-0.028999999999999998,279.7
0.2,-30.0,35.0,20.0,0.0,0.0,0.0,0.267,0.5489999999999999,0.0,0.177,0.033,-0.077,284.8
0.2,-30.0,35.0,-10.0,0.0,0.0,0.0,0.237,0.639,-0.204,0.162,0.047,-0.079,280.4
0.2,-30.0,35.0,-10.0,0.0,0.0,0.0,0.244,0.6920000000000001,-0.326,0.157,0.057,-0.075,284.1
0.2,-30.0,35.0,-10.0,0.0,0.0,0.0,0.24,0.522,0.105,0.16699999999999998,0.019,-0.08199999999999999,273.2
0.2,-30.0,35.0,-10.0,0.0,0.0,0.0,0.25,0.469,0.244,0.163,0.006,-0.08199999999999999,279.9
0.2,-30.0,35.0,-10.0,0.0,0.0,0.0,0.24,0.58,-0.14300000000000002,0.163,0.016,-0.08199999999999999,282.7
0.2,-30.0,35.0,-10.0,0.0,0.0,0.0,0.245,0.5770000000000001,-0.18600000000000003,0.16,0.006999999999999999,-0.083,279.4
0.2,-30.0,35.0,-10.0,0.0,0.0,0.0,0.237,0.584,-0.113,0.16399999999999998,0.023,-0.081,279.3
0.2,-30.0,35.0,-10.0,0.0,0.0,0.0,0.215,0.581,-0.059000000000000004,0.145,0.028999999999999998,-0.059000000000000004,276.8
0.2,-30.0,35.0,-10.0,0.0,0.0,0.0,0.201,0.584,-0.063,0.124,0.026000000000000002,-0.035,279.2
0.2,-30.0,35.0,-10.0,0.0,0.0,0.0,0.195,0.5720000000000001,-0.052000000000000005,0.11599999999999999,0.024,-0.028999999999999998,279.7
0.2,-30.0,35.0,-10.0,0.0,0.0,0.0,0.267,0.5489999999999999,0.0,0.177,0.033,-0.077,284.8
0.2,-30.0,35.0,-20.0,0.0,0.0,0.0,0.237,0.639,-0.204,0.162,0.047,-0.079,280.4
0.2,-30.0,35.0,-20.0,0.0,0.0,0.0,0.244,0.6920000000000001,-0.326,0.157,0.057,-0.075,284.1
0.2,-30.0,35.0,-20.0,0.0,0.0,0.0,0.24,0.522,0.105,0.16699999999999998,0.019,-0.08199999999999999,273.2
0.2,-30.0,35.0,-20.0,0.0,0.0,0.0,0.25,0.469,0.244,0.163,0.006,-0.08199999999999999,279.9
0.2,-30.0,35.0,-20.0,0.0,0.0,0.0,0.24,0.58,-0.14300000000000002,0.163,0.016,-0.08199999999999999,282.7
0.2,-30.0,35.0,-20.0,0.0,0.0,0.0,0.245,0.5770000000000001,-0.18600000000000003,0.16,0.006999999999999999,-0.083,279.4
